paper,weightedAverage,decision
Paper1001,7.0,Accept
Paper1008,5.25,Reject
Paper1009,5.470588235294118,Reject
Paper1013,5.75,Reject
Paper1014,3.2941176470588234,Reject
Paper1017,6.647058823529412,Accept
Paper1018,5.25,Reject
Paper1020,6.523809523809524,Accept
Paper1021,7.2,Accept
Paper1022,4.0,Reject
Paper1023,4.5,Reject
Paper1024,6.153846153846154,Accept
Paper1026,7.428571428571429,Accept
Paper1027,6.25,Accept
Paper1028,4.916666666666667,Reject
Paper1030,4.2727272727272725,Reject
Paper1031,6.4,Accept
Paper1033,6.571428571428571,Accept
Paper1034,5.0,Reject
Paper1036,6.769230769230769,Accept
Paper1037,4.2,Reject
Paper1038,4.0,Reject
Paper1039,4.230769230769231,Reject
Paper104,5.5,Reject
Paper1040,5.769230769230769,Reject
Paper1042,5.705882352941177,Reject
Paper1043,6.722222222222222,Accept
Paper1045,6.25,Reject
Paper105,5.0,Reject
Paper1051,4.0,Reject
Paper1052,6.647058823529412,Accept
Paper1053,6.785714285714286,Accept
Paper1054,6.333333333333333,Reject
Paper1055,3.5454545454545454,Reject
Paper1056,5.733333333333333,Reject
Paper1057,4.7272727272727275,Reject
Paper1058,4.333333333333333,Reject
Paper1059,7.2727272727272725,Accept
Paper1061,5.5,Accept
Paper1062,6.285714285714286,Accept
Paper1063,4.733333333333333,Reject
Paper1065,5.666666666666667,Reject
Paper1067,7.578947368421052,Accept
Paper1068,6.333333333333333,Accept
Paper1069,5.5,Reject
Paper107,5.266666666666667,Reject
Paper1071,6.6,Accept
Paper1072,5.4375,Reject
Paper1074,4.5,Reject
Paper1075,4.7,Reject
Paper1076,7.333333333333333,Accept
Paper1079,6.1,Accept
Paper108,5.0625,Reject
Paper1083,5.25,Reject
Paper1084,6.333333333333333,Accept
Paper1087,5.777777777777778,Accept
Paper1091,2.6,Reject
Paper1092,2.6666666666666665,Reject
Paper1093,3.4,Reject
Paper1094,3.5454545454545454,Reject
Paper1095,5.4,Accept
Paper1097,6.071428571428571,Reject
Paper1098,4.533333333333333,Reject
Paper1099,4.8,Reject
Paper11,6.545454545454546,Accept
Paper1100,4.071428571428571,Reject
Paper1101,6.625,Accept
Paper1103,4.954545454545454,Reject
Paper1104,6.5,Accept
Paper1105,4.545454545454546,Reject
Paper1107,4.894736842105263,Reject
Paper1108,3.5454545454545454,Reject
Paper1109,6.0,Accept
Paper1110,5.538461538461538,Accept
Paper1111,7.2,Accept
Paper1112,6.066666666666666,Accept
Paper1113,4.133333333333334,Reject
Paper1114,4.571428571428571,Reject
Paper1115,6.266666666666667,Reject
Paper1116,5.533333333333333,Reject
Paper1117,6.6,Accept
Paper1118,3.4285714285714284,Reject
Paper1121,4.473684210526316,Reject
Paper1122,6.615384615384615,Accept
Paper1123,5.6923076923076925,Accept
Paper1124,4.375,Reject
Paper1125,4.846153846153846,Reject
Paper1128,5.1,Reject
Paper113,6.230769230769231,Accept
Paper1130,4.066666666666666,Reject
Paper1131,7.055555555555555,Accept
Paper1132,4.545454545454546,Reject
Paper1133,4.846153846153846,Accept
Paper1135,5.0,Reject
Paper1136,7.9,Accept
Paper1138,2.8,Reject
Paper1139,4.4,Reject
Paper1140,6.1,Reject
Paper1141,4.904761904761905,Reject
Paper1142,5.6,Reject
Paper1144,5.294117647058823,Reject
Paper1146,3.4615384615384617,Reject
Paper1148,3.4615384615384617,Reject
Paper1149,6.0,Reject
