paper,weightedAverage,decision
Paper1,7.7,Accept
Paper100,6.166666666666667,Accept
Paper1000,6.666666666666667,Accept
Paper1001,4.363636363636363,Reject
Paper1003,6.333333333333333,Accept
Paper1004,3.8461538461538463,Reject
Paper1005,3.5384615384615383,Reject
Paper1006,7.454545454545454,Accept
Paper1007,6.538461538461538,Accept
Paper1008,5.7272727272727275,Accept
Paper101,5.666666666666667,Reject
Paper1010,4.363636363636363,Reject
Paper1011,5.230769230769231,Reject
Paper1012,2.6923076923076925,Reject
Paper1013,4.3,Reject
Paper1014,5.928571428571429,Accept
Paper1015,5.181818181818182,Reject
Paper1016,7.0,Accept
Paper1017,4.846153846153846,Reject
Paper1018,6.0,Reject
Paper1019,6.818181818181818,Reject
Paper102,4.846153846153846,Reject
Paper1020,6.5,Accept
Paper1021,4.923076923076923,Reject
Paper1022,5.2,Reject
Paper1023,6.928571428571429,Accept
Paper1024,5.7,Accept
Paper1025,4.615384615384615,Reject
Paper1026,5.333333333333333,Accept
Paper1027,3.3846153846153846,Reject
Paper1028,7.0,Accept
Paper1029,5.923076923076923,Reject
Paper1030,4.6,Reject
Paper1032,3.6923076923076925,Reject
Paper1033,7.0,Accept
Paper1034,4.25,Reject
Paper1035,6.333333333333333,Reject
Paper1036,4.454545454545454,Reject
Paper1037,6.538461538461538,Accept
Paper1038,6.3076923076923075,Accept
Paper1039,6.3076923076923075,Accept
Paper104,3.0,Reject
Paper1040,6.666666666666667,Accept
Paper1041,4.0,Reject
Paper1043,7.230769230769231,Accept
Paper1044,4.75,Reject
Paper1045,5.230769230769231,Reject
Paper1046,3.75,Reject
Paper1048,6.625,Accept
Paper1049,3.9,Reject
Paper105,6.363636363636363,Reject
Paper1050,6.0,Reject
Paper1051,5.714285714285714,Reject
Paper1052,7.0,Accept
Paper1053,7.461538461538462,Accept
Paper1054,5.2727272727272725,Reject
Paper1055,4.3076923076923075,Reject
Paper1056,4.0,Reject
Paper1057,3.5454545454545454,Reject
Paper1058,7.1,Accept
Paper1059,5.230769230769231,Reject
Paper106,7.1,Accept
Paper1060,6.4,Reject
Paper1061,3.9285714285714284,Reject
Paper1062,5.5,Reject
Paper1063,7.0,Accept
Paper1064,6.384615384615385,Accept
Paper1065,6.5,Accept
Paper1066,5.363636363636363,Accept
Paper1067,7.923076923076923,Accept
Paper1068,5.666666666666667,Reject
Paper1069,3.6666666666666665,Reject
Paper107,4.7272727272727275,Reject
Paper1070,4.916666666666667,Reject
Paper1071,6.0,Reject
Paper1072,3.8333333333333335,Reject
Paper1073,7.0,Accept
Paper1074,6.0,Reject
Paper1075,4.769230769230769,Reject
Paper1076,5.0,Reject
Paper1077,4.0,Reject
Paper1078,7.363636363636363,Accept
Paper108,6.3076923076923075,Accept
Paper1080,6.6,Accept
Paper1081,4.0,Reject
Paper1082,5.7,Reject
Paper1083,8.2,Accept
Paper1084,4.545454545454546,Reject
Paper1085,5.3,Reject
Paper1086,6.083333333333333,Accept
Paper1087,4.7,Reject
Paper1088,4.2,Reject
Paper1089,5.636363636363637,Accept
Paper109,6.615384615384615,Accept
Paper1090,4.636363636363637,Reject
Paper1091,5.0,Reject
Paper1092,4.090909090909091,Reject
Paper1093,5.333333333333333,Reject
Paper1094,5.1,Reject
Paper1095,5.5,Reject
Paper1097,5.666666666666667,Reject
Paper1098,7.0,Accept
Paper1099,5.666666666666667,Accept
Paper11,5.3,Reject
Paper110,7.5,Accept
Paper1101,6.833333333333333,Accept
Paper1102,4.333333333333333,Reject
Paper1103,5.818181818181818,Accept
Paper1104,5.0,Reject
Paper1105,5.0,Reject
Paper1106,4.818181818181818,Reject
Paper1108,3.6923076923076925,Reject
Paper1109,5.8,Reject
Paper111,6.333333333333333,Accept
Paper1110,4.923076923076923,Reject
Paper1111,5.538461538461538,Accept
Paper1112,6.666666666666667,Accept
Paper1114,6.666666666666667,Accept
Paper1115,8.0,Accept
Paper1116,5.0,Reject
Paper1117,5.428571428571429,Reject
Paper1118,5.25,Reject
Paper1119,6.230769230769231,Accept
Paper112,5.7272727272727275,Reject
Paper1120,3.3846153846153846,Reject
Paper1121,5.4,Reject
Paper1122,3.6666666666666665,Reject
Paper1123,5.636363636363637,Reject
Paper1124,4.090909090909091,Reject
Paper1125,6.615384615384615,Accept
Paper1126,3.5454545454545454,Reject
Paper1127,4.666666666666667,Reject
Paper1129,3.3076923076923075,Reject
Paper113,6.2727272727272725,Accept
Paper1130,5.333333333333333,Reject
Paper1131,5.6923076923076925,Reject
Paper1132,4.666666666666667,Reject
Paper1133,6.090909090909091,Reject
Paper1134,6.0,Reject
Paper1135,4.230769230769231,Reject
Paper1136,6.2,Accept
Paper1137,4.636363636363637,Reject
Paper1138,6.3,Reject
Paper1139,7.0,Accept
Paper114,7.333333333333333,Accept
Paper1140,5.444444444444445,Reject
Paper1141,6.222222222222222,Accept
Paper1143,2.923076923076923,Reject
Paper1146,7.666666666666667,Accept
Paper1147,5.571428571428571,Accept
Paper1148,5.6,Reject
Paper1149,2.764705882352941,Reject
Paper115,5.2727272727272725,Reject
Paper1150,6.666666666666667,Accept
Paper1151,4.333333333333333,Reject
Paper1152,6.6923076923076925,Accept
Paper1153,7.0,Accept
Paper1154,5.0,Reject
Paper1155,6.0,Reject
