0,0,0,1,1,1,1,26,0,42
25,1,33,0,4,1,7,1,0,0
0,67,3,0,0,0,0,1,1,0
1,69,1,0,0,0,0,1,0,0
12,1,17,4,15,0,22,1,0,0
0,67,1,2,0,0,1,1,0,0
6,0,24,3,36,0,2,1,0,0
2,1,7,1,4,0,56,1,0,0
0,0,2,1,0,62,0,7,0,0
2,0,0,0,0,0,0,66,0,4
5,2,11,3,25,0,18,1,0,0
1,1,0,0,1,54,0,6,1,1
1,0,2,0,0,2,0,57,0,3
4,1,3,56,1,0,0,0,0,0
5,0,25,5,15,0,14,1,0,0
2,62,0,1,0,0,0,0,0,0
9,0,29,4,8,0,15,0,0,0
8,0,11,3,14,2,27,0,0,0
2,1,0,0,0,0,1,0,61,0
57,0,0,4,1,0,3,0,0,0
7,0,39,2,16,0,6,0,0,0
1,0,0,0,0,40,1,27,0,1
0,0,0,0,1,1,2,59,0,7
1,0,0,0,0,18,2,11,0,38
2,66,0,1,0,1,0,0,0,0
14,0,23,4,17,2,9,0,1,0
9,0,27,4,6,1,23,0,0,0
24,3,1,34,0,1,2,0,5,0
2,0,0,0,0,1,0,16,0,51
1,0,5,60,3,0,1,0,0,0
0,0,0,0,0,0,0,2,66,0
0,0,1,0,0,0,0,1,66,0
4,7,1,47,1,1,1,1,4,1
21,0,2,34,1,0,10,0,0,0
0,0,0,1,0,0,0,0,67,0
44,0,1,4,0,0,19,0,0,0
0,0,0,0,0,2,1,60,1,4
0,0,0,0,0,58,0,6,1,3
0,0,0,0,0,2,0,62,1,3
0,0,0,0,1,1,0,6,0,60
28,1,2,1,0,2,37,0,0,0
0,67,1,0,1,0,1,0,0,1
12,4,0,42,0,1,3,1,7,1
2,0,2,1,0,1,0,30,0,35
7,0,26,2,16,0,19,1,0,0
0,3,1,0,0,0,0,46,0,21
9,0,41,4,4,1,12,0,0,0
0,61,0,4,0,0,3,1,1,1
9,2,37,4,16,0,2,0,1,0
13,1,32,13,6,1,5,0,0,0
6,1,24,1,19,1,20,0,0,0
11,0,37,1,10,0,13,0,0,0
0,0,1,0,0,67,0,1,2,1
0,0,0,0,0,0,1,0,71,0
6,1,38,4,22,0,1,0,0,0
13,0,43,1,4,0,11,0,0,0
0,0,0,0,0,0,0,2,70,0
6,0,18,1,32,1,13,0,0,0
